,Shift,WROM_Al2O3,SO_Al2O3,SL_Al2O3,SL_PulpDen,SL_60,SL_100,SL_300,CFO_Al2O3,CFO_10
249,C,3.82280105286247,2.96,8.15,1.26,2.4,3.5,11.2,4.19,14.5
250,A,3.9957051974552877,3.1,7.98,1.3,2.8,2.8,10.2,3.93,26.1
251,B,3.97854134762634,2.65,8.79,1.29,3.1999999999999997,3.2,10.399999999999999,4.21,19.8
252,C,3.8899824797843663,3.49,8.12,1.3,2.1,3.1,11.9,4.02,21.6
253,A,4.837338576212249,3.218418972332016,8.134658385093168,1.29,1.7000000000000002,2.9,10.100000000000001,4.785093167701863,25.6
254,B,4.934531673026032,3.3253754940711464,8.813898305084745,1.39,2.5,3.6,10.8,5.145876923076923,17.7
255,C,3.4690674790799263,2.214,7.327173913043477,1.51,2.2,3.8,11.6,3.62112,15.2
256,A,5.3166500349266546,2.27,9.41,1.45,2.5,3.6,11.8,7.2,30.4
257,B,3.1741673013455194,1.91,6.7,1.32,2.8,3.9,10.1,3.6,17.8
258,C,3.183896486429623,2.22,6.92,1.31,2.2,2.9,11.5,4.02,25.5
259,A,4.24143848194246,2.68,6.38,1.29,3.0,4.2,9.6,3.69,15.8
260,B,4.848982658959537,2.8,7.46,1.41,3.3,4.8,9.4,4.41,18.6
261,C,4.6138933333333325,2.67,7.1,1.31,2.1,2.9,9.100000000000001,4.3,17.6
262,A,,,,,0.0,,0.0,,
263,B,,,,,0.0,,0.0,,
264,C,,,,,0.0,,0.0,,
265,A,5.313653615181359,3.11,7.96,1.25,3.5,4.9,9.899999999999999,4.58,12.7
266,B,5.731779766625127,3.8,7.43,1.26,0.7,1.3,4.7,6.57,16.0
267,C,4.345676917638742,2.83,7.48,1.36,2.6,3.4,11.1,4.29,17.1
268,A,4.367690884420871,3.4,8.51,1.32,2.6,2.9,11.3,4.24,18.8
269,B,3.4627910930922803,2.3604048582995953,7.6186708860759484,1.38,2.0,3,10.100000000000001,4.144556962025316,10.7
270,C,3.626413936046312,2.755581395348837,7.468956127080181,1.39,1.9,2.8,10.1,3.8044186046511625,18.6
271,A,4.248125348967058,2.61,9.15,1.49,2.8,3.2,12.2,4.48,23.700000000000003
272,B,4.410285105249134,3.32,8.99,1.27,2.1,3.1,11.100000000000001,4.57,9.8
273,C,4.650490218642117,4.2,7.5,1.37,2.7,3.9,11.399999999999999,4.48,15.1
274,A,4.453924065152557,3.57,6.53,1.32,2.4,2.9,11.5,4.51,22.599999999999998
275,B,4.147132743362832,3.2,7.22,0,1.5,1.6,8.3,3.51,11.6
276,C,4.418612789239713,3.0,10.48,1.26,1.9,2.4,9.5,3.79,33.3
277,A,4.98957512045554,3.57,8.21,1.39,2.8,2.2,11.2,5.43,25.099999999999998
278,B,5.57843516058923,3.42,10.13,1.29,2.3,2.8,10.0,6.55,14.3
279,C,5.270866602789312,3.5,9.13,1.33,2.6,3,10.899999999999999,5.16,17.5
