,Shift,WROM_Al2O3,SO_Al2O3,SL_Al2O3,SL_PulpDen,SL_60,SL_100,SL_300,CFO_Al2O3,CFO_10
622,A,4.121517403206883,3.02,8.12,1.4,3.5,2.7,9.7,4.08,7.9
623,B,3.2186079881656804,1.67,8.02,1.47,4.199999999999999,3.3,10.399999999999999,3.93,8.2
624,C,3.3926128483579743,2.22,8.29,1.34,1.9,2.8,10.9,3.67,7.6
625,A,3.4169876576698766,2.4,8.1,1.37,2.4,2.8,10.1,3.53,11.8
626,B,4.328437548973515,3.52,8.24,1.35,2.8,3,9.0,3.87,8.2
627,C,3.588044141817328,2.08,8.24,1.45,2.5,2.9,10.3,3.68,13.2
628,A,4.266972013651878,2.47,8.66,1.33,1.7000000000000002,2.6,8.4,3.7,9.8
629,B,4.7575704912218475,3.78,7.8,1.34,2.2,2.8,9.5,4.03,8.100000000000001
630,C,4.410311434416912,3.68,10.84,1.3,2.1,2.1,9.399999999999999,4.5,10.600000000000001
631,A,3.887792642140468,2.75,9.79,1.37,1.7000000000000002,2,10.399999999999999,3.79,9.2
632,B,4.089228642885349,2.98,8.87,1.4,2.1,2.6,8.4,3.49,11.1
633,C,4.380286109829257,3.06,9.27,1.28,2.5999999999999996,3.4,9.4,4.64,12.6
634,A,4.184083482256829,2.44,10.17,1.3,2.0,2.3,8.2,3.59,7.3
635,B,4.183850292957073,2.39,10.4,1.39,2.6,2.7,9.2,3.67,5.3
636,C,3.952889161053277,2.43,8.81,1.32,3.0,2.9,10.1,3.74,9.0
637,A,4.3168569628229365,2.45,10.15,1.42,2.0999999999999996,2.5,7.9,4.28,8.7
638,B,4.142150442477876,2.9,8.72,1.38,2.6,3,9.5,3.77,9.8
639,C,4.209606628047959,1.77,11.21,1.34,1.6,2.3,10.5,4.32,9.4
640,A,4.34587382445141,1.96,10.0,1.44,2.0,2.9,8.6,4.25,7.6
641,B,4.304034180346301,2.87,7.88,1.37,2.2,3,9.8,4.46,10.3
642,C,4.626369982547993,2.39,9.09,1.39,1.3,2.5,8.3,3.85,8.7
643,A,4.572184484754922,2.39,8.21,1.4,2.3,2.2,9.8,4.91,14.4
644,B,4.729644962486602,2.96,8.7,1.43,2.1,2.1,9.6,5.11,8.9
645,C,3.9531850030731412,1.73,9.46,1.36,2.1,2.6,8.3,4.42,11.1
646,A,5.239493896993152,3.53,9.94,1.42,3.5,3.9,9.4,5.07,11.200000000000001
647,B,4.348693303000143,3.06,10.99,1.41,2.5,3.3,10.6,3.77,15.299999999999999
648,C,3.6951106017191977,2.1,10.61,1.41,2.8,2.6,9.3,3.99,10.5
649,A,4.536158801288335,2.61,11.03,1.33,2.5,3.9,10.8,4.21,14.100000000000001
650,B,3.7681041927845107,2.12,9.57,1.39,2.1,2.9,8.7,3.2,21.0
651,C,5.113363000635728,3.41,10.33,1.4,2.2,3.1,10.1,4.09,15.3
652,A,4.25093441150045,2.98,10.35,1.42,2.8,3.3,10.0,4.2,17.3
653,B,4.698534714747039,2.26,10.04,1.425,2.5,3,9.8,4.31,17.3
654,C,3.4368407694362815,2.07,9.88,1.35,1.5,2.3,8.7,3.89,13.9
655,A,4.035696601658297,2.69,8.36,1.39,2.8,3.3,10.399999999999999,4.27,31.4
656,B,4.1288444270935,1.82,9.37,NIL,2.0,2.5,10.399999999999999,3.85,20.599999999999998
657,C,3.231568019414858,2.0,7.29,1.44,1.5,2.1,9.7,3.25,17.7
658,A,3.8769406270847226,2.84,9.01,,2.1,2.9,8.9,3.44,11.8
659,B,3.553858928265708,2.18,9.01,,2.1,2.9,8.9,4.19,13.8
660,C,3.1842917466410747,1.67,9.76,1.35,2.8,2.9,9.6,4.39,14.1
661,A,4.779135066041755,4.55,9.48,1.37,2.7,3.6,10.5,4.46,8.9
662,B,4.892905896020912,3.39,8.74,1.32,2.5,3,9.7,5.1,7.9
663,C,4.482054538662683,2.51,9.06,1.32,3.1,3.6,11.0,4.7,9.1
664,A,3.9236601307189543,2.45,7.05,1.36,1.7999999999999998,3.1,10.4,4.26,10.7
665,B,3.7930813776287717,2.43,8.09,,2.3,2.7,9.7,4.26,12.1
666,C,4.2600248788791415,3.08,8.56,1.31,2.5,2.9,10.1,4.39,12.2
667,A,3.991467923604309,2.84,7.79,1.44,2.3,3.8,9.7,4,11.9
668,B,4.104916002277904,3.47,8.13,1.39,1.7000000000000002,2.5,9.899999999999999,3.73,10.4
669,C,5.05758224543081,4.39,7.53,1.4,2.0,3.2,9.0,5.24,7.4
670,A,4.639399850894632,3.58,8.46,1.44,2.6,3.5,11.0,4.53,11.1
671,B,4.011877488514548,3.14,8.06,1.41,2.0,2.8,10.0,3.34,10.5
672,C,4.538957605404147,3.21,9.4,1.5,2.3,3.2,9.6,4.07,8.1
673,A,5.563022273984568,4.23,9.41,1.45,2.5999999999999996,2.9,10.5,5.8,11.899999999999999
674,B,4.526542476312832,3.23,8.8,1.26,2.6,3.1,10.7,4.36,12.9
675,C,4.189244613124388,2.67,8.88,1.48,3.1,3.3,9.8,3.86,8.9
676,A,3.9168566493955086,2.97,8.12,1.4,2.5,3.1,9.399999999999999,3.88,9.1
677,B,3.737790363482671,2.6,8.51,1.37,1.4,2.5,8.600000000000001,3.6,10.3
678,C,4.179971886886059,2.93,8.85,1.36,1.9,2.9,9.8,3.76,11.399999999999999
679,A,4.742225851609892,3.48,8.75,1.47,1.6,2.7,9.3,5.09,8.899999999999999
680,B,4.191743739437701,2.42,7.59,1.35,2.2,2.9,9.4,3.48,17.1
681,C,5.069732728189611,3.23,10.45,1.4,2.0,1.9,9.3,5.29,12.200000000000001
682,A,4.431863354037267,4.15,9.11,1.31,1.9,2.5,9.5,4.07,11.6
683,B,,,,,0.0,,0.0,,
684,C,,,,,0.0,,0.0,,
685,A,3.1910462776659956,1.78,8.14,1.2,2.1,3.8,10.7,2.91,8.6
686,B,4.764993232064971,2.28,8.93,1.31,2.4,3.9,9.5,5.17,8.0
687,C,4.243943447856492,2.94,8.47,1.49,2.0,3.1,10.1,4.26,15.5
688,A,3.70080412371134,3.08,8.19,1.32,2.1,3,9.0,3.79,9.7
689,B,2.660520446096654,2.51,7.92,1.49,2.7,3.6,10.5,3.16,7.8
690,C,3.4220705817480006,2.92,6.96,,2.0,3.1,9.8,3.15,6.0
691,A,4.3172603992076795,2.45,7.32,1.35,1.9,2.3,8.5,3.39,10.8
692,B,3.9569770002446787,2.55,7.15,1.46,2.3,2.6,9.8,3.48,9.1
693,C,3.61149332435768,2.13,6.6,1.39,1.5,3,9.899999999999999,3.62,10.8
694,A,4.054710877981766,2.56,6.56,1.36,2.0,3,10.899999999999999,4.73,9.7
695,B,4.110133743274404,2.43,7.06,1.35,2.2,3.3,9.4,5.06,6.5
696,C,4.028891762098264,2.27,8.3,1.34,2.0,2.9,10.2,4.69,10.9
697,A,4.534525059665872,3.44,9.61,1.34,1.7000000000000002,2.3,8.899999999999999,5.29,12.6
698,B,3.0283985623003193,2.33,6.56,1.55,2.0,3.1,9.7,2.42,1.3
699,C,4.014551886792453,3.93,6.86,1.41,2.1,2.9,8.600000000000001,3.09,13.6
700,A,4.063883649585274,3.55,6.63,1.45,2.5,4.1,11.100000000000001,3.77,4.6
701,B,4.354107625743645,2.05,11.28,1.45,3.6999999999999997,3.5,11.0,3.12,9.5
702,C,4.544685221015032,3.09,12.0,1.41,2.1,2.9,9.2,3.04,10.5
703,A,3.6489927917397234,1.62,10.08,1.41,2.3,3,10.4,3.53,8.7
704,B,4.503709234466186,2.96,9.8,1.46,1.9,2.9,9.6,3.83,5.3
705,C,4.190464144813182,2.22,10.16,1.42,1.8,2.3,8.5,3.79,9.1
706,A,3.852440060698027,2.62,7.93,1.48,2.4,3.9,10.5,3.59,11.5
707,B,3.34302188213183,1.46,8.31,1.41,2.6,3.7,11.399999999999999,2.96,8.9
708,C,4.143295729250604,2.08,9.14,1.39,1.8,2.8,9.399999999999999,3.85,10.3
709,A,4.345630894308944,2.61,9.26,1.4,2.8,2.9,10.5,3.82,14.5
710,B,4.107518039313263,2.22,9.13,1.38,2.2,2.7,9.4,3.39,10.700000000000001
711,C,3.9520071856287426,2.27,9.33,1.39,2.0,2.5,11.0,2.93,13.0
712,A,3.667882105728822,1.69,9.21,1.46,2.3,3.2,10.3,3,9.5
713,B,,2.32,9.28,0,1.5,3,9.899999999999999,2.87,9.4
714,C,3.591109907958852,2.32,9.28,0,1.5,3,9.899999999999999,2.87,9.4
715,A,3.6447371125192674,2.42,9.56,1.41,2.5,3.3,9.899999999999999,3.86,15.6
716,B,4.438722472039664,3.1,10.33,1.42,2.5999999999999996,2.5,10.2,4.55,12.4
717,C,3.694721335885981,2.51,10.1,1.36,2.5,3.3,10.3,2.9,12.1
718,A,4.2578150644783115,2.69,8.5,1.44,2.7,3.2,11.0,3.58,10.2
719,B,5.583248587570622,4.6,9.85,1.36,3.3,3,9.5,5.21,11.8
720,C,4.292447825501549,2.95,10.34,1.41,2.5,3.3,10.8,4.59,11.4
721,A,3.3265291659095038,2.25,9.93,1.4,2.1,2.3,9.899999999999999,4.18,12.9
722,B,4.788643374252439,3.29,10.23,,1.7000000000000002,3,10.399999999999999,4.93,8.9
723,C,4.576334345701834,2.48,10.02,1.42,2.5,2.8,10.100000000000001,4.6,6.6
724,A,3.506841743434621,2.18,7.31,1.38,2.8,2.8,10.0,4.31,11.4
725,B,4.517416786112439,2.93,9.78,1.42,3.1999999999999997,3.2,9.6,4.49,11.1
726,C,3.7183011836913633,2.04,9.68,1.39,2.5,2.9,11.0,3.65,10.9
727,A,3.8660753128289085,2.05,9.01,1.38,1.9000000000000001,2.3,10.899999999999999,3.99,13.6
728,B,3.5568303571428572,2.22,6.95,1.37,1.9,2.6,8.8,3.38,20.2
729,C,4.561805621162023,3.41,8.14,1.55,2.7,2.8,9.6,4.09,18.2
730,A,2.9329618654985827,2.28,4.55,1.51,2.7,2.8,10.5,3.04,13.0
731,B,4.044679339878839,3.24,6.91,1.47,2.1,2.5,9.8,4.33,6.5
732,C,3.449536057692308,2.02,8.74,1.45,2.8,2.9,11.0,3.04,10.3
733,A,3.176140015910899,1.75,8.61,1.4,2.9000000000000004,3.8,11.6,2.7,9.2
734,B,4.222055303342963,3.92,6.89,1.51,2.2,3,10.5,3.86,7.9
735,C,3.931819508635369,2.86,8.13,1.48,2.5,3.6,10.5,3.53,9.0
736,A,4.750645315487572,2.43,8.87,1.34,0.9,2.8,11.2,5.28,8.6
737,B,3.532109826589595,2.3,7.55,1.46,2.1,3.1,8.6,3.69,9.6
738,C,4.331183095180431,2.92,7.8,1.48,2.5,3.2,9.7,5.15,9.6
739,A,3.2005614591593967,1.41,7.52,1.42,2.1,2.6,9.3,4.22,8.6
740,B,2.876537475064121,1.54,6.94,1.33,1.6,2.5,10.7,3.35,9.4
741,C,3.008319185059422,2.07,7.82,1.35,2.6,2.7,10.5,3.25,6.9
742,A,3.3308810317345316,2.27,7.89,1.43,2.1,2.9,9.9,3.4,12.799999999999999
743,B,2.973837667454689,1.62,7.99,1.45,2.3,2.5,12.0,3.31,14.7
744,C,2.8137392389270124,1.1,8.74,1.38,2.5,2.9,9.8,3.49,7.9
745,A,3.7819815092453775,2.25,8.97,1.4,1.9,2.1,9.3,3.48,15.6
746,B,4.601687059162229,2.4,9.36,1.31,2.7,2.4,9.1,3.94,21.2
747,C,4.166485200845666,2.71,8.53,1.36,2.3,2.2,10.2,4.05,18.8
748,A,4.548999632668054,2.48,10.8,1.36,2.1,2.9,10.1,4.55,15.0
749,B,3.8902125800815375,1.58,8.74,1.37,2.1,2.4,10.7,4.26,12.0
750,C,4.0604046450377105,2.21,8.8,1.34,2.7,3,11.6,4.67,14.0
751,A,4.586526867627785,2.56,8.74,1.34,2.1,2.3,9.8,4.45,10.0
752,B,4.065848462115529,2.79,7.83,1.28,2.4000000000000004,2.9,9.1,4.7,5.1000000000000005
753,C,3.7697776280323447,2.81,8.44,1.31,2.4,2.1,8.5,4.18,22.2
754,A,4.516919495635305,1.98,8.35,1.36,2.5999999999999996,3.1,10.600000000000001,3.75,34.6
755,B,4.254810690423162,1.6,8.59,1.43,2.1,3,9.4,2.5,10.799999999999999
756,C,1.328850021862702,,,,,,,,
757,A,2.343218906330861,1.28,8.44,1.33,1.6,2.4,9.3,3.2,11.6
758,B,4.45063629460896,2.87,8.83,1.45,2.0,2.1,9.6,5.56,15.2
759,C,3.1342165082914106,2.15,8.56,1.34,2.7,2.9,9.0,3.64,15.1
760,A,3.7700175151798225,2.71,8.74,1.37,1.9,2.8,8.0,4.7,14.9
761,B,4.454679548237856,3.08,8.92,1.42,2.1,2.9,9.3,5.63,17.3
762,C,3.1359943865276665,1.84,8.79,1.42,2.7,2.9,9.7,3.41,12.3
763,A,3.2641595059076263,2.32,5.81,1.49,2.5,3,9.100000000000001,3.86,15.4
764,B,2.4975982946470867,1.79,8.47,1.45,2.3,2.8,10.0,3.21,15.4
765,C,3.6572149624305776,1.47,7.6,1.4,2.1,2.8,9.3,4.62,14.3
766,A,3.745619554695063,2.48,8.96,1.42,2.7,2.2,8.8,4.18,10.3
767,B,3.5173829472646627,3.29,8.13,1.41,1.6,3.2,9.7,3.39,12.4
768,C,2.328679138321995,2.0988095238095235,8.373913043478261,,1.6,2.1,8.8,3.221428571428571,10.9
769,A,,,,,0.0,,0.0,,
770,B,,,,,0.0,,0.0,,
771,C,,,,,0.0,,0.0,,
772,A,,,,,0.0,,0.0,,
773,B,,,,,0.0,,0.0,,
774,C,,,,,0.0,,0.0,,
775,A,,,,,0.0,,0.0,,
776,B,,,,,0.0,,0.0,,
777,C,,,,,0.0,,0.0,,
778,A,,,,,0.0,,0.0,,
779,B,,,,,0.0,,0.0,,
780,C,,,,,0.0,,0.0,,
781,A,,,,,0.0,,0.0,,
782,B,,,,,0.0,,0.0,,
783,C,,,,,0.0,,0.0,,
784,A,,,,,0.0,,0.0,,
785,B,,,,,0.0,,0.0,,
786,C,4.325825538046336,2.77,8.373913043478261,,1.6,2.1,8.8,4.46,12.8
787,A,2.3820167120961613,1.06,8.373913043478261,,1.6,2.1,8.8,3.12,6.2
788,B,4.044636157022015,3.01,8.373913043478261,,1.6,2.1,8.8,3.82,5.1
789,C,4.8394509767243,3.64,8.373913043478261,,1.6,2.1,8.8,4.57,9.4
790,A,3.658133016627078,1.37,8.52,1.36,2.8,2.9,10.399999999999999,3.39,9.3
791,B,4.435422131147541,3.63,8.52,1.36,2.8,2.9,10.399999999999999,4.45,8.2
792,C,4.035837406127071,2.36,8.52,1.36,2.8,2.9,10.399999999999999,3.9,9.6
793,A,3.7277205531711974,2.57,6.57,1.36,2.0,2.4,11.899999999999999,3.96,5.1
794,B,4.005314430540156,2.85,8.07,1.41,2.3,3.1,10.6,4.09,4.4
795,C,5.251939466783217,5.41,8.47,1.35,2.2,3.2,11.1,3.57,5.9
796,A,4.208054075133238,1.92,8.21,1.37,2.0,2.9,10.399999999999999,3.19,4.6
797,B,4.730862262038074,4.07,7.97,1.39,2.2,2.4,11.899999999999999,3.86,4.3999999999999995
798,C,3.2421020008699433,1.5,8.01,1.4,2.4,3.1,10.2,2.93,5.4
799,A,3.418008485471844,1.91,7.86,1.52,2.7,3,10.6,3.13,6.5
800,B,3.2553377573591966,1.88,7.64,1.36,2.2,2.8,9.2,3.4,4.0
801,C,4.0798516483516485,3.01,8.0,1.31,2.8,3.3,10.7,4.42,5.5
802,A,3.845956384015594,2.8,8.17,1.37,2.2,3.1,10.7,3.73,9.0
803,B,3.847235462345091,2.95,7.79,1.35,1.8,2.7,8.7,3.73,7.6
804,C,4.159526205965386,3.12,8.12,1.38,2.8,2.9,7.8999999999999995,3.65,7.6
805,A,4.052682387619749,2.67,9.51,1.39,2.3,3.3,10.6,3.36,8.0
806,B,3.6613607188703465,1.78,10.54,1.42,2.4,3.6,9.8,3.88,4.9
807,C,4.47594288411612,3.59,8.51,1.37,2.3,2.5,10.6,4.38,8.9
808,A,3.263239312472455,2.1,9.59,1.38,1.6,3,10.0,3.76,6.9
809,B,3.1235073550620136,2.11,7.47,1.44,1.9,3.3,10.7,3.25,5.7
810,C,3.93311357543261,3.17,8.02,1.41,2.8,2.3,9.1,3.61,10.5
811,A,4.17265519219736,2.9,8.61,1.32,2.3,3.3,10.6,3.56,8.0
812,B,4.080364157706093,2.42,10.55,1.4,2.7,3.6,10.5,4.95,6.9
813,C,3.4437038871007677,2.44,10.71,1.36,1.9,3,9.7,2.56,8.9
814,A,5.279949494949495,3.04,10.17,1.3,1.7000000000000002,2.9,10.7,3.97,22.1
815,B,5.345680840898232,4.49,9.46,1.44,2.1,2.5,11.0,4.62,4.3
816,C,4.024685438265787,3.37,9.87,1.5,1.9,2.6,9.5,4.25,7.6
817,A,4.891818071705426,3.76,9.66,1.29,2.0,2.3,9.9,5.55,10.600000000000001
818,B,3.902981036357048,2.45,9.98,1.42,2.1,2.5,9.2,4.61,15.2
819,C,4.37619435258204,3.15,10.17,1.36,1.5,3.4,11.1,5.33,7.0
820,A,4.594637146371463,3.59,10.05,1.31,1.4,2.8,9.2,4.5,5.6
821,B,3.4625851938895416,2.48,10.1,1.41,1.5,3,9.4,3.39,4.3
822,C,3.6207538691962062,2.31,10.65,1.4,2.3,3.5,10.8,5.03,4.8999999999999995
823,A,4.224553824362606,3.32,10.34,1.39,2.0,2.8,10.399999999999999,4.44,5.4
824,B,4.335266542562193,3.6,8.41,1.26,2.0999999999999996,3,10.4,4.96,4.1
825,C,3.458209137884145,2.01,7.95,1.4,2.1,2.8,9.2,3.92,8.9
826,A,3.276694392657393,2.61,9.05,1.31,1.9,2.9,9.8,3.85,8.2
827,B,4.343936202226903,3.05,9.5,1.41,2.5,3.2,11.899999999999999,4.17,5.8
828,C,3.7309921524663676,2.69,9.54,,1.9,2.6,9.7,3.81,8.5
829,A,5.378826479438315,4.45,9.08,1.4,2.4000000000000004,2.6,9.3,5.46,6.5
830,B,4.025026137463699,2.2,10.45,1.46,2.8,3.4,11.5,4.29,5.0
831,C,5.437250441956394,4.68,10.71,1.34,1.3,2.8,10.8,5.05,6.0
832,A,4.708564537348341,3.78,7.72,1.22,2.7,.4.2,12.1,4.57,7.1
833,B,3.827371987951807,2.69,8.67,1.25,2.1,2.3,9.8,4.07,7.9
834,C,4.386057284299858,3.93,9.98,1.35,2.2,2.4,9.2,3.6,6.3
835,A,5.290590918104303,3.28,10.01,1.38,2.2,2.6,10.1,5.8,7.1
836,B,3.8790911351485766,1.99,9.43,1.45,2.6,3.1,10.7,3.72,5.9
837,C,3.9642519257893025,2.43,9.36,1.45,1.7,2.2,9.3,3.64,7.8
838,A,3.2004169148302566,1.75,8.27,1.33,2.6,2.9,8.7,3.42,6.800000000000001
839,B,3.5526810740013097,2.89,8.94,1.47,1.5,2.2,9.7,3.08,7.699999999999999
840,C,4.494342501074344,3.79,7.96,1.43,2.1,2.8,10.4,4.47,6.8999999999999995
841,A,4.161944961446424,3.48,6.88,1.37,2.4000000000000004,2.3,9.7,4.41,6.8
842,B,3.567535944471988,2.42,7.01,1.51,1.6,2.3,8.6,3.86,5.7
843,C,3.777341209498187,2.49,8.36,1.38,1.6,2.6,10.7,3.93,7.5
844,A,3.6687877702137826,2.82,9.04,1.38,2.1,2.9,9.8,2.98,14.0
845,B,3.498850130808521,2.18,7.55,1.46,1.6,3.1,11.1,3.46,7.9
846,C,2.4732983960616166,1.5,7.45,1.38,2.4,3.2,9.0,2.95,16.4
847,A,2.835017227235438,1.54,7.35,1.42,1.5,2.8,11.0,2.8,27.1
848,B,2.7595906294368198,1.52,7.87,1.4,1.8,2.6,9.4,3.63,17.299999999999997
849,C,4.8426796073181615,2.64,8.31,1.39,2.1,3.3,9.2,6.02,17.8
850,A,4.368910233176272,2.66,7.78,1.5,2.1,2.4,9.6,5.15,5.6
851,B,4.514273409280356,2.97,8.54,1.44,1.8,2.3,8.4,4.53,12.4
852,C,4.106638011152417,2.17,8.12,1.37,2.8,2.6,8.5,4.24,13.8
853,A,4.321073552879733,3.01,8.7,1.32,2.7,2.9,10.600000000000001,4.36,10.1
854,B,3.710240634399781,2.09,7.57,1.45,2.0,2.8,9.3,4.26,11.7
855,C,3.400619852622454,1.81,7.47,1.43,2.7,3.2,9.3,4.2,13.2
856,A,3.2622252850519984,2.04,8.23,1.31,2.9,2.9,9.899999999999999,3.38,10.7
857,B,3.1170823500186313,1.81,7.61,1.3,2.0,3.1,8.8,3.1,6.8
858,C,2.743383458646617,1.88,8.43,1.25,2.7,2.9,10.0,3.03,7.6
859,A,3.5237976487353047,2.18,7.89,1.32,1.7000000000000002,3.7,11.899999999999999,3.39,8.7
860,B,3.8556843366277325,2.58,8.35,1.36,2.2,2.8,9.1,4.27,8.0
861,C,4.562035339591386,3.06,10.15,1.28,2.7,2.9,8.399999999999999,3.74,11.4
862,A,3.7669446485427382,2.59,8.6,1.29,2.1,2.7,9.7,3.48,10.6
863,B,4.216592592592592,2.81,8.75,1.43,1.7000000000000002,2.7,10.9,4.22,10.899999999999999
864,C,5.099521845742309,2.74,10.57,1.36,2.2,2.1,7.8,5.06,10.799999999999999
865,A,7.045006927824663,5.42,11.65,1.32,1.6,2.9,9.2,5.17,20.299999999999997
866,B,5.504747356051704,4.18,11.3,1.36,2.7,3.4,12.1,5.72,14.8
867,C,4.05465892053973,2.8,10.48,1.43,1.9,2.7,10.0,3.67,13.5
868,A,5.356437079233558,2.83,11.01,1.36,1.9,2.1,9.7,4.93,8.6
869,B,4.257386806596701,3.17,9.81,1.43,2.2,2.4,10.100000000000001,4.76,8.899999999999999
870,C,4.632085930543188,2.29,10.84,1.56,2.0999999999999996,2.2,10.9,5.24,4.1
871,A,5.657236066452304,3.92,10.92,1.36,1.7000000000000002,2,10.3,5.91,7.300000000000001
872,B,5.915157165689931,3.34,10.54,1.24,2.2,2.2,10.2,7.28,3.7
873,C,5.251522771723946,3.32,10.59,1.29,2.6,2.6,10.4,5.76,8.0
874,A,5.424950224791265,3.62,9.12,1.27,1.6,2.3,8.3,5.79,12.3
875,B,4.5490724974200205,3.14,11.13,1.24,1.9,2.6,8.7,4.5,11.799999999999999
876,C,4.2190284933235205,2.54,9.61,1.4,1.9,2.8,10.0,4.59,9.0
877,A,4.977089163871863,3.53,9.69,1.48,1.6,2.6,9.3,4.99,8.799999999999999
878,B,3.9149241982507283,2.11,10.29,1.49,2.0,2.7,8.100000000000001,4.26,7.8
879,C,4.453410404624277,4.18,9.92,1.57,2.1,2.7,10.2,4,10.8
880,A,4.724092749355908,4.32,9.72,1.34,1.6,2.3,8.899999999999999,4.07,7.9
881,B,4.379335463258785,3.07,9.91,1.44,1.7999999999999998,2.9,9.8,4.8,9.0
882,C,5.813880064456722,4.9,8.87,1.44,1.8,2.6,9.7,6.25,6.2
883,A,5.960367295243457,5.28,10.49,1.37,2.3,3,11.5,6.52,10.4
884,B,4.638941908713693,2.93,9.7,1.32,2.1,3.4,9.3,4.69,13.3
885,C,4.962967021712413,3.08,10.31,1.29,1.9,2.8,8.6,5.48,18.9
886,A,5.167770658123081,4.68,10.47,1.32,1.7999999999999998,2.3,8.0,4.59,11.3
887,B,4.281187718073971,3.14,10.37,1.3,2.4000000000000004,2.9,10.3,4.4,16.9
888,C,4.697473453749316,2.88,10.1,1.28,1.9,3,9.5,5.37,16.6
889,A,5.508446445370246,2.67,8.93,1.24,2.2,2.9,9.1,6.13,12.5
890,B,7.974701593760597,7.31,9.76,1.45,1.7,2.4,9.7,7.84,9.6
891,C,6.763700582476144,5.4,9.7,1.39,1.9,2.7,8.7,6.15,13.8
892,A,7.678823982539479,5.98,10.31,1.36,2.1,3.2,9.6,7.45,5.8
893,B,5.077564718648271,3.75,10.02,1.28,1.6,3,9.3,5.08,7.0
894,C,4.92587359743531,3.59,8.93,1.41,1.5,2.8,10.0,4.84,18.400000000000002
895,A,5.2236667713567835,4.1,9.71,1.35,1.8,3.1,10.0,5.45,8.9
896,B,4.651967094818876,3.56,9.94,1.38,2.5,3.2,14.0,5.71,8.4
897,C,6.381579248521839,4.73,9.74,1.4,1.1,3.3,9.3,8.1,8.2
898,A,5.543123834390152,4.38,9.83,1.34,2.2,3.7,13.600000000000001,5.71,7.6
899,B,5.712654142581888,4.24,9.22,1.3,2.6,3.3,10.4,6.24,10.9
900,C,5.2449384061920865,3.17,8.04,1.332,1.9,2.8,9.899999999999999,6.2,10.1
901,A,3.754109133581068,2.91,6.99,1.32,2.0,2.7,9.8,3.31,11.2
902,B,5.507993177942012,3.12,9.97,1.27,2.3,3.4,9.600000000000001,5.77,16.0
903,C,4.8173044524669075,4.27,9.02,1.33,2.4,2.6,10.7,3.69,10.7
904,A,4.591375268048607,3.19,9.59,1.38,1.7,2.4,9.2,3.97,6.2
905,B,3.6283466084275435,2.39,9.91,1.32,2.0,2.9,9.2,3.33,6.2
906,C,4.67204066634003,2.68,9.4,1.38,1.6,2.6,9.0,4.87,8.4
907,A,4.261312405446294,2.81,9.57,1.23,2.5,3.4,10.7,3.59,17.6
908,B,3.8915409266924823,2.15,9.57,1.27,2.0,3,9.6,4.11,11.1
909,C,5.113101148573546,3.04,9.16,1.26,1.5,2.3,8.7,5.46,13.8
910,A,4.266341271918346,2.53,9.23,1.26,1.7,2,9.7,4.44,9.1
911,B,4.941989339752407,3.68,9.99,1.4,1.6,2.6,9.399999999999999,4.93,9.1
912,C,5.045756531204645,3.58,9.51,1.38,2.0,2.9,10.4,5.59,7.7
913,A,3.9562231595092023,2.5,10.02,1.28,1.2,2.6,9.1,4.13,12.9
914,B,4.744288005131494,3.26,9.57,1.38,2.1,2.8,9.8,4.74,10.6
915,C,4.21304839138527,2.85,9.2,1.4,2.5,3.1,10.7,4.1,12.4
916,A,4.532319044272664,3.03,10.31,1.29,2.5,3.1,10.8,4.5,10.7
917,B,5.164274973147154,2.56,9.78,1.4,1.5,2.9,9.100000000000001,5.96,12.3
918,C,,3.14,9.83,,1.8,3.3,9.8,4.9,10.9
919,A,,,,,,,,,
920,B,,,,,,,,,
921,C,,,,,,,,,
922,A,6.427715930902112,5.24,10.0,0,1.8,2.2,4.9,6.04,24.400000000000002
923,B,5.942114416475973,3.11,10.62,1.38,2.0,3.3,5.4,5.73,12.9
924,C,4.484495830174375,2.87,11.1,1.39,2.3,3,5.5,4.86,8.4
925,A,5.672721697331344,3.67,10.68,1.46,4.0,6.1,11.2,5.58,15.7
926,B,4.188819712652557,3.02,9.88,1.41,2.5,2.8,6.7,3.63,16.8
927,C,4.1170054274084125,2.26,7.93,1.47,2.1,2.3,4.3,4.67,17.9
928,A,3.7125177498634625,1.67,9.29,1.37,2.0,2.8,5.5,4.38,17.400000000000002
929,B,4.385944413969647,3.24,8.9,1.33,2.1,3.1,6.1,4.89,19.5
930,C,4.772646437198067,3.17,8.84,0,2.5999999999999996,3.3,5.3,5.25,14.9
931,A,5.101514592225171,3.47,9.13,1.45,2.2,2.9,6.2,5.92,13.6
932,B,5.467830946559553,4.71,9.8,1.43,2.7,3.2,5.2,5.62,15.299999999999999
933,C,5.342010543973161,4.33,10.95,1.48,1.6,2.4,5.8,4.73,12.3
934,A,6.044822588705647,3.9,10.04,1.39,2.1,2.8,5.1,6.75,8.8
935,B,5.830273293684509,5.12,8.3,1.48,1.7,2,5.6,5.55,10.7
936,C,4.510168292682926,2.78,9.18,1.59,2.1,3.1,6.2,5.52,10.799999999999999
937,A,4.341481823783118,3.18,9.6,1.47,1.5,2.8,5.6,4.78,13.5
938,B,4.600727818420559,3.56,9.66,1.43,1.7999999999999998,2.9,5.9,4.65,11.9
939,C,4.890030560722827,4.18,9.0,1.49,2.8,2.8,5.2,5.12,11.200000000000001
940,A,4.741125239505313,3.2,9.58,1.48,2.3,3.3,5.9,5.06,9.5
