,Shift,WROM_Al2O3,SO_Al2O3,SL_Al2O3,SL_PulpDen,SL_60,SL_100,SL_300,CFO_Al2O3,CFO_10,Date
478,A,3.979926576446876,1.7,9.2,1.32,2.1,2.9,10.3,3.87,13.2,2023-09-07
481,A,3.562211802950738,2.58,8.66,1.26,2.1,3.2,9.899999999999999,2.09,16.5,2023-09-08
484,A,4.061640186357663,2.43,7.68,1.38,2.1,2.9,10.5,3.42,12.9,2023-09-09
487,A,5.1700187289299535,3.18,9.01,1.38,2.2,2.9,10.3,5.65,16.4,2023-09-10
490,A,4.754723090386299,2.6,7.99,1.31,2.0,2.6,10.0,4.09,15.6,2023-09-11
493,A,4.121263520157326,2.74,8.59,1.31,2.5,2.6,10.2,3.82,19.8,2023-09-12
496,A,4.347445891994117,3.09,9.34,1.34,1.7999999999999998,2.3,9.3,3.55,12.5,2023-09-13
499,A,3.7922441538848384,2.06,9.46,1.28,2.3,2.9,9.7,4.21,15.5,2023-09-14
505,A,3.3334911591355594,2.08,7.78,1.42,2.2,2.5,10.6,3.26,25.0,2023-09-16
508,A,4.636701908200102,2.77,7.96,1.34,1.6,2.1,8.899999999999999,4.47,13.4,2023-09-17
511,A,3.8143970345963756,2.28,7.83,1.28,2.5,3.2,9.5,4.08,17.3,2023-09-18
517,A,4.876918906448263,2.26,9.75,1.4,1.7999999999999998,2.3,8.8,5.32,23.4,2023-09-20
520,A,6.091794187842202,3.95,10.64,1.36,2.4,2.9,9.2,5.79,21.6,2023-09-21
523,A,5.147385530502144,3.9,8.24,1.32,1.8,2.6,8.1,4.85,16.8,2023-09-22
526,A,4.70039475376109,3.42,8.92,1.22,1.8,2.3,9.399999999999999,4.23,8.6,2023-09-23
529,A,3.7746134115060457,2.26,8.62,1.25,2.8,2.9,10.2,3.2,11.9,2023-09-24
532,A,4.110788367203925,3.16,8.01,1.25,2.4,3.1,11.1,3.39,5.8999999999999995,2023-09-25
535,A,3.8615019200682688,2.33,8.29,1.27,2.3,3.1,10.3,3.14,7.4,2023-09-26
538,A,3.319020379805466,1.19,8.94,1.32,1.9,2,9.8,3.04,10.9,2023-09-27
541,A,3.4058458149779733,1.62,7.97,1.22,1.6,2.6,9.8,3.89,3.9,2023-09-28
544,A,4.568493710353725,2.0,7.96,1.36,2.3,2.2,10.3,4.01,8.9,2023-09-29
547,A,4.6034322414900455,4.38,8.67,1.27,2.1,3.6,10.7,3.44,4.5,2023-09-30
550,A,3.9808216880939065,2.76,9.11,1.36,2.2,2.2,9.8,4.1,11.0,2023-10-01
553,A,3.6953867505551448,2.46,8.51,1.36,1.6,2.3,8.5,3.37,8.5,2023-10-02
556,A,5.353154352149304,3.49,9.46,1.35,1.9,2.9,9.8,5.31,10.2,2023-10-03
559,A,4.205782747603834,3.48,8.93,1.4,1.9,2.3,8.2,4.16,6.2,2023-10-04
562,A,4.155078467411283,2.52,8.37,1.35,2.5,2.5,10.899999999999999,4.22,8.8,2023-10-05
565,A,4.566052278820376,3.09,8.76,0,2.0,2.4,10.0,5.03,7.9,2023-10-06
568,A,4.991197854588796,2.38,7.6,1.36,1.7999999999999998,2.4,8.0,5.46,4.1,2023-10-07
571,A,3.906550079491256,2.2,6.02,1.39,1.8,2.8,9.6,4.2,6.3,2023-10-08
574,A,4.524848605050907,2.97,6.68,1.38,2.1,2.4,9.0,4.96,7.6,2023-10-09
577,A,4.3487879538976335,2.59,6.94,1.41,2.3,2.6,9.7,5,7.1,2023-10-10
580,A,4.170308331511043,2.82,7.61,1.24,1.6,2.3,9.2,3.17,9.5,2023-10-11
583,A,4.836388480392157,3.43,9.3,1.29,2.0,2.9,9.6,5.01,16.0,2023-10-12
586,A,4.778141414141413,3.85,8.92,1.33,1.9,2.9,9.3,4.15,14.600000000000001,2023-10-13
589,A,4.560080777483277,2.98,7.97,1.48,2.2,3.3,10.5,4.72,17.4,2023-10-14
592,A,3.935333978702808,2.55,8.12,1.28,1.7,2.6,10.5,4.23,15.2,2023-10-15
595,A,3.7809738186462325,2.05,9.0,1.46,2.3,2.8,8.2,4.21,9.899999999999999,2023-10-16
598,A,3.977653520619485,2.53,8.71,1.32,2.4,3.3,11.100000000000001,4.46,15.6,2023-10-17
601,A,3.5660286591606956,3.05,6.77,1.25,2.8,2.9,10.1,3.19,13.4,2023-10-18
607,A,4.632977818641535,2.95,7.89,1.27,2.6,3.8,10.0,4.12,15.5,2023-10-20
610,A,4.569407531165661,3.62,8.64,1.31,2.8,3.2,8.9,4.74,18.0,2023-10-21
613,A,3.4663817043288865,2.44,7.04,1.35,2.3,2.8,9.6,3.53,18.7,2023-10-22
616,A,3.7809781158259943,2.35,9.06,1.37,2.5,3.5,9.5,3.52,9.5,2023-10-23
619,A,3.0738508968609866,2.41,8.64,1.27,2.2,2.6,8.7,3.46,12.1,2023-10-24
622,A,4.121517403206883,3.02,8.12,1.4,3.5,2.7,9.7,4.08,7.9,2023-10-25
625,A,3.4169876576698766,2.4,8.1,1.37,2.4,2.8,10.1,3.53,11.8,2023-10-26
628,A,4.266972013651878,2.47,8.66,1.33,1.7000000000000002,2.6,8.4,3.7,9.8,2023-10-27
631,A,3.887792642140468,2.75,9.79,1.37,1.7000000000000002,2,10.399999999999999,3.79,9.2,2023-10-28
634,A,4.184083482256829,2.44,10.17,1.3,2.0,2.3,8.2,3.59,7.3,2023-10-29
637,A,4.3168569628229365,2.45,10.15,1.42,2.0999999999999996,2.5,7.9,4.28,8.7,2023-10-30
640,A,4.34587382445141,1.96,10.0,1.44,2.0,2.9,8.6,4.25,7.6,2023-10-31
643,A,4.572184484754922,2.39,8.21,1.4,2.3,2.2,9.8,4.91,14.4,2023-11-01
646,A,5.239493896993152,3.53,9.94,1.42,3.5,3.9,9.4,5.07,11.200000000000001,2023-11-02
649,A,4.536158801288335,2.61,11.03,1.33,2.5,3.9,10.8,4.21,14.100000000000001,2023-11-03
652,A,4.25093441150045,2.98,10.35,1.42,2.8,3.3,10.0,4.2,17.3,2023-11-04
655,A,4.035696601658297,2.69,8.36,1.39,2.8,3.3,10.399999999999999,4.27,31.4,2023-11-05
661,A,4.779135066041755,4.55,9.48,1.37,2.7,3.6,10.5,4.46,8.9,2023-11-07
664,A,3.9236601307189543,2.45,7.05,1.36,1.7999999999999998,3.1,10.4,4.26,10.7,2023-11-08
667,A,3.991467923604309,2.84,7.79,1.44,2.3,3.8,9.7,4,11.9,2023-11-09
670,A,4.639399850894632,3.58,8.46,1.44,2.6,3.5,11.0,4.53,11.1,2023-11-10
673,A,5.563022273984568,4.23,9.41,1.45,2.5999999999999996,2.9,10.5,5.8,11.899999999999999,2023-11-11
676,A,3.9168566493955086,2.97,8.12,1.4,2.5,3.1,9.399999999999999,3.88,9.1,2023-11-12
679,A,4.742225851609892,3.48,8.75,1.47,1.6,2.7,9.3,5.09,8.899999999999999,2023-11-13
682,A,4.431863354037267,4.15,9.11,1.31,1.9,2.5,9.5,4.07,11.6,2023-11-14
685,A,3.1910462776659956,1.78,8.14,1.2,2.1,3.8,10.7,2.91,8.6,2023-11-15
688,A,3.70080412371134,3.08,8.19,1.32,2.1,3,9.0,3.79,9.7,2023-11-16
691,A,4.3172603992076795,2.45,7.32,1.35,1.9,2.3,8.5,3.39,10.8,2023-11-17
694,A,4.054710877981766,2.56,6.56,1.36,2.0,3,10.899999999999999,4.73,9.7,2023-11-18
697,A,4.534525059665872,3.44,9.61,1.34,1.7000000000000002,2.3,8.899999999999999,5.29,12.6,2023-11-19
700,A,4.063883649585274,3.55,6.63,1.45,2.5,4.1,11.100000000000001,3.77,4.6,2023-11-20
703,A,3.6489927917397234,1.62,10.08,1.41,2.3,3,10.4,3.53,8.7,2023-11-21
706,A,3.852440060698027,2.62,7.93,1.48,2.4,3.9,10.5,3.59,11.5,2023-11-22
709,A,4.345630894308944,2.61,9.26,1.4,2.8,2.9,10.5,3.82,14.5,2023-11-23
712,A,3.667882105728822,1.69,9.21,1.46,2.3,3.2,10.3,3,9.5,2023-11-24
715,A,3.6447371125192674,2.42,9.56,1.41,2.5,3.3,9.899999999999999,3.86,15.6,2023-11-25
718,A,4.2578150644783115,2.69,8.5,1.44,2.7,3.2,11.0,3.58,10.2,2023-11-26
721,A,3.3265291659095038,2.25,9.93,1.4,2.1,2.3,9.899999999999999,4.18,12.9,2023-11-27
724,A,3.506841743434621,2.18,7.31,1.38,2.8,2.8,10.0,4.31,11.4,2023-11-28
